Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"ACC","1,575.90","1,594.00","1,563.70","1,591.50","16.95","1.08","7.27","114.98","1,678.90","1,255.65","3.01","13.56"
"RAMCOCEM","729.00","735.45","716.90","732.00","7.85","1.08","4.53","32.91","879.10","546.90","0.36","20.93"
"SUNPHARMA","456.00","461.45","454.00","459.75","4.80","1.06","31.85","146.08","679.30","370.20","-10.66","10.36"
"BATAINDIA","1,331.05","1,348.95","1,325.10","1,343.00","14.05","1.06","4.32","57.81","1,358.00","673.90","87.77","11.86"
"RECLTD","132.90","134.70","131.30","133.30","1.40","1.06","166.24","221.30","147.00","89.00","6.05","11.92"
"ICICIPRULI","343.10","350.25","343.10","345.75","3.50","1.02","15.14","52.50","462.20","277.35","-10.96","19.91"
"BIOCON","615.00","622.00","614.85","620.90","6.10","0.99","5.12","31.69","718.00","543.30","3.45","-2.15"
"BRITANNIA","3,086.00","3,122.00","3,066.50","3,101.75","30.55","0.99","2.40","74.56","3,467.18","2,395.00","-36.03","-2.50"
"GAIL","350.30","357.90","350.00","352.70","3.05","0.87","29.08","103.07","399.40","295.25","-19.19","3.80"
"COLPAL","1,259.40","1,268.60","1,252.85","1,262.25","10.55","0.84","3.77","47.61","1,354.80","1,018.30","21.72","-2.52"
"NIITTECH","1,313.00","1,329.75","1,308.65","1,324.20","10.65","0.81","4.32","57.02","1,425.20","820.00","50.64","2.12"
"NHPC","25.15","25.45","24.75","25.35","0.20","0.80","52.69","13.28","29.40","22.10","-5.06","4.75"
"EXIDEIND","223.30","228.25","223.30","226.25","1.80","0.80","11.40","25.78","304.70","194.30","8.18","3.31"
"HINDUNILVR","1,708.75","1,726.00","1,703.00","1,715.00","13.40","0.79","8.65","148.57","1,869.50","1,281.10","32.62","-6.28"
"MGL","883.90","894.00","882.40","885.30","6.85","0.78","3.01","26.82","1,041.00","756.00","-12.24","-8.36"
"TATAMTRDVR","92.00","93.20","91.75","92.30","0.70","0.76","15.53","14.37","208.25","71.00","-52.64","0.05"
"WIPRO","259.00","260.50","257.45","259.60","1.90","0.74","56.79","147.16","291.72","190.13","-8.98","-30.25"
"SUZLON","7.35","7.80","7.30","7.35","0.05","0.68","958.92","71.73","12.40","2.75","-36.09","90.91"
"TATAMOTORS","182.00","184.60","181.20","182.40","1.20","0.66","207.31","378.05","372.35","129.00","-47.15","2.18"
"AMARAJABAT","745.00","748.00","740.00","743.20","4.50","0.61","1.16","8.59","908.45","683.05","-6.40","-5.13"
"SRF","2,345.00","2,382.00","2,341.40","2,368.00","14.35","0.61","1.18","28.08","2,446.60","1,530.05","28.05","6.51"
"BAJFINANCE","2,769.00","2,807.95","2,769.00","2,784.45","16.15","0.58","8.76","244.59","2,994.00","1,594.20","71.03","2.70"
"ADANIENT","137.85","140.95","137.60","139.00","0.80","0.58","19.25","26.88","236.65","100.85","-17.73","13.10"
"ALBK","57.40","59.00","56.70","57.90","0.30","0.52","95.92","55.67","59.00","33.15","24.52","36.72"
"HDFC","1,886.35","1,903.55","1,884.00","1,893.55","9.50","0.50","17.19","325.53","2,052.95","1,644.50","5.27","-4.75"
"TORNTPOWER","249.40","251.90","248.30","250.60","1.25","0.50","4.45","11.15","276.95","211.50","-1.69","2.37"
"LT","1,343.55","1,351.00","1,340.00","1,345.95","6.55","0.49","16.11","216.45","1,459.70","1,182.50","4.84","2.40"
"MANAPPURAM","112.40","119.95","112.40","118.85","0.55","0.46","29.38","34.88","130.45","66.25","13.62","22.65"
